GEOID,NAME,B19013_001E,B19013_001M,B01003_001E,B01003_001M,NUMPOINTS,inc_rate
"360290009002","Block Group 2, Census Tract 9, Erie County, New York",53205,13626,743,187,10,"1346"
"360290138022","Block Group 2, Census Tract 138.02, Erie County, New York",66738,13819,819,355,0,"0"
"360290045005","Block Group 5, Census Tract 45, Erie County, New York",91557,16908,971,291,6,"618"
"360290110002","Block Group 2, Census Tract 110, Erie County, New York",57574,7803,1225,274,9,"735"
"360290148042","Block Group 2, Census Tract 148.04, Erie County, New York",103264,51943,1205,383,1,"83"
"360290105003","Block Group 3, Census Tract 105, Erie County, New York",54750,10087,924,301,1,"108"
"360290016011","Block Group 1, Census Tract 16.01, Erie County, New York",19455,8205,1530,401,90,"5882"
"360290152022","Block Group 2, Census Tract 152.02, Erie County, New York",52661,29372,1452,373,0,"0"
"360290053001","Block Group 1, Census Tract 53, Erie County, New York",61726,14760,661,145,2,"303"
"360290101031","Block Group 1, Census Tract 101.03, Erie County, New York",62115,9733,1510,219,1,"66"
"360290091132","Block Group 2, Census Tract 91.13, Erie County, New York",134191,30534,2401,439,0,"0"
"360290073051","Block Group 1, Census Tract 73.05, Erie County, New York",86458,40574,2561,390,0,"0"
"360290171001","Block Group 1, Census Tract 171, Erie County, New York",,,709,451,24,"3385"
"360290130013","Block Group 3, Census Tract 130.01, Erie County, New York",38929,35360,354,156,0,"0"
"360290094021","Block Group 1, Census Tract 94.02, Erie County, New York",100000,23303,778,172,1,"129"
"360290128003","Block Group 3, Census Tract 128, Erie County, New York",53092,14482,1025,175,0,"0"
"360290090123","Block Group 3, Census Tract 90.12, Erie County, New York",65526,21104,1964,350,0,"0"
"360290076001","Block Group 1, Census Tract 76, Erie County, New York",29735,7029,728,197,0,"0"
"360290109022","Block Group 2, Census Tract 109.02, Erie County, New York",30917,19938,1361,667,0,"0"
"360290055002","Block Group 2, Census Tract 55, Erie County, New York",18729,4531,1336,398,26,"1946"
"360290085001","Block Group 1, Census Tract 85, Erie County, New York",55263,26464,1183,247,0,"0"
"360290093013","Block Group 3, Census Tract 93.01, Erie County, New York",18948,11119,1335,401,6,"449"
"360290058021","Block Group 1, Census Tract 58.02, Erie County, New York",11467,2133,589,183,43,"7301"
"360290170001","Block Group 1, Census Tract 170, Erie County, New York",57950,55621,794,363,46,"5793"
"360290090073","Block Group 3, Census Tract 90.07, Erie County, New York",108333,65406,2276,426,0,"0"
